text,rating
"zero stars.
",1
"its nt worth it no more!!!!
",1
"trust me ur better of playin some othe game!!!
",1
"love this app, love my fish.
",5
"great app when it doesn't freeze.
",4
"needs more breedable fish that don't require fish bucks.
",4
"cant breed fish like everyone else.
",1
"so mad all the time spent and uninstalled.
",1
"will never install this game ever again.
",1
"i would give 0 stars now if i could
",1
"sad that the development team has poor quality control on releases.
",3
"see other comments for problem description.
",3
"where did my fish go.
",1
"latest update deleted half my fish.
",1
"all the christmas fish i just bred and other christmas fish that i bought to bred are all missing.
",5
"help!
",5
"now its all gone i cannot use my breeding tanks & my limited breedable fish & bred fish are gone!!!
",1
"oh my gosh what happened to my breeds fish?all gone!
",4
"updated my tap fish and all my fish that i had just used my fish bucks to revive were dead and lots of my special fish that i had in display tanks are just gone..
",3
"after last uodate im missing my coin fish n i cant breed.
",1
"so over u tapfish!!!!!
",1
"can no longer play.
",2
"since last update 29.12.12 , have lost everything.
",2
"spent a small fortune in money on this my favourite android game and disappointed.
",2
"please could you rectify.
",2
"app worked great before this last update.
",1
"lost all of my bred fish.
",1
"i am on level 34 so that is alot of fish.
",1
"update f'd this app up.
",1
"took all of my holiday fish and i can't breed any fish.
",1
"at the end of the christmas event all of my bred fish disappeared.
",1
"it wasn't the update.
",1
"i still updated after they were missing.
",1
"i want my fish back :(
",1
"same problem as everyone else.
",1
"all my bred fish are mssing.
",1
"can't breed more and can't move from breeding lab to tank.
",1
"it won't load fish when i clearly have bought the fish.
",1
"the christmas event didn't load until the day before it was due to expire.
",1
"i lost out on all of it.
",1
"now when i try to breed it won't allow me to even breed what i do have
",1
"i could just cry:(  i have been playing this game for a year and on your last update i woke up in the morning to find that all my fish that i have spent my money on are all gone.  my breeding tanks say that i have hatched eggs when none are in there.  what is up. how can i fix this?
",1
"i thought it was just me but i lost my 4th tank ..
",2
"dnt know how ..
",2
"i've been playing this for over a year ..
",2
"if you have to spend fish bucks to buy fish - the fish should be sold back for fish bucks and not coins.
",1
"if your going to pay coins when fish are sold, you should have more items involve coin buying and not bucks.
",1
"last update failed miserably.
",2
"can no longer breed.
",2
"bred fish missing.
",2
"dropped the ball.
",2
"where all my fisj, they are gone, plz fix it
",1
"also cannot reset to last saved game.
",3
"also it wouldn't let breeding any more.
",1
"its good, but all my fish in my tank went missing
",3
"what the hell!
",3
"half my fish are missing and the breed tanks arent working!
",3
"2 new updates and now the breeding tanks arent working properly and some fish have disappeared!
",3
"i love this app so addictive
",5
"i really enjoy this app in my spare time.
",4
"they put a fish that had been out of stock on sale,they treat us like we're stupid -""new!""
",1
"old decos from last year.this game freezes up and shuts down constantly.the items u pay for are very overpriced.this last update is screwy im happy that all the names and numbers r now readable but it turned all my decos inside out.gameview u suck.
",1
"bought fish buck and never got them 20.00 worth now have to call bank to fight it stop deleteing my post and refund my money!!!!
",1
"great game.
",4
"oh well....
",4
"this is the funnest game i ever played
",5
"update, crash, then lost everything, even what i paid for!!!!!
",1
"its an ok game!!!
",3
"it takes to long to load
",2
"addictive and good fun.
",5
"cheaper to play on an ipod.
",5
"this is my all time favorite game, i love it and so does my 19 month old daughter.
",5
"she loves to help her mommy feed the fish every day.
",5
"i love this game.
",5
"definitely worth the download!
",5
"i just love it and the special events r fun
",5
"i love this game :d!!!
",5
"fun fun fun
",5
"i love the game the bubble tips do annoy me but i want to know is how do i get more bucks without buying them and downloading games to get them?!?!
",4
"i just download the game not even a week ago and i am still trying to figure out things plz help me out if you know how to get bucks faster!
",4
"as soon as i updated i lost over half of my coins.
",1
"great game done minor bugs but nothing to bad
",4
"awsome game u should download.
",5
"it's worth it
",5
"i love this game it intertains me when im bored it is  very good
",5
"the games fun but rips u off on ur bucks
",3
"love this game but doesn't alway work on my phone.
",4
"love this game
",5
"love the game but my fish keep dieing
",4
"awsome so much like having your own real tank but with more exciting fish
",5
"too costly.
",3
"especially when taking a crap ;-)
",5
"unfortunate that you have to spend your own money for bucks, coins or download other games to receive few free ones .
",3
"otherwise a great app.
",3
"fun game
",5
"challenges are not nearly so impossible now.
",4
"the game had multiple glitches... in my favor!
",5
"they fixed them, but not before i made billions in coins.
",5
"bucks are still hard to come by, so decide wisely on how to use them.
",5
"at one time i gave a 5 star rating.
",1
"since all the recent updates all it does is force close .
",1
"which sucks because its my favorite game when the bugs aee fixed will go back to 5 stars.
",1
"also as others have mentioned you need more breedable fish to buy for coins not fish bucks.
",1
"shame on you this was listed as a free game (free) yet you need fish bucks for everything!!!!!
",1
"at least consider trading coins for fish bucka so everyone can enjoy the full extent of the (free) game .
",1
"love the game but get really stressed out and mad when my fish die cuz i didnt feed it.
",4
"download asap!!!!!!!!:)
",5
"so much money and time  spent on my guilty pleasure turned addiction and can't even open it.
",4
"loading my a$$.
",4
"awesome getting best game
",5
"love this game
",5
"tapfishfan cute and fun game, especially if you need to pass some time.
",4
"i love this game!
",5
"i like this game it passes the time... it is a bit slow but when i'm waiting for appts.
",4
"i love it!
",5
"grow fish and sell, breed and have fun.
",5
"addicting!
",5
"i love this game but.
",5
"need more free.
",5
"fish.
",5
"bucks
",5
"great app!
",5
"very hard to get fish bucks but my soon loves the game will give you four stars
",4
"tap fish
",4
"a great game!
",5
"my baby luv it!!!!!!
",4
"this is a veary fun game
",5
"samsung galaxy captivate- love the game.
",5
"more quests would b awesome.
",5
"this game gives me a lot to do!
",5
"just wish it didn't take so long to earn stuff.
",5
"now my 20 tanks are all messed up.
",2
"please undo this update and give me back my beautiful tanks.
",2
"thanks for nothing.
",2
"thumbs down all the way.
",2
"awesome and entertaining
",5
"its sooooo fun
",5
"after a second time re-installing the game, rebuilding my tanks, then after another one of their ""updates"", the game was messed up again.
",1
"they get you to work on your game, even buy the over priced fish bucks, then they ""update""
",1
"the game so it crashes and you have to start over.
",1
"total scam.
",1
"it is so fun i recemend it for everyone!!!!!!!
",5
"used to rate a five but now is a one.
",4
"the last update took away some pretty cool fish that u can only get if u download the tapfish exotic to get.
",4
"tapfish 2 has more cool fish but u can't get if u already have this version.
",4
"have to have fishbucks for almost everything.
",4
"about to uninstall.
",4
"i recommend you install this game but one problem it uses to much of my time other than that it's great.
",4
"long time game player but lost all my tanks when switched phones.
",5
"i couldn't resist starting over again though.
",5
"the best game i've ever played five stars best and ur dumb if u given tap 1 star 2 stars and 3 stars
",5
"love this game really gud, u can bead fish nd get all different kinds of fish i got a santa clause fish nd a mrs clause fish nd bred them lots of times nd got all different ones like snowman fish angel fish with halo its pretty cool to c wat other fish u can create xxx
",4
"really addictive with lots of events to keep you interested
",5
"i like all the fish.
",5
"very enjoyable.
",5
"fun.
",5
"addictive!
",5
"passes the time.
",5
"good time killer.
",5
"some interesting ""species""
",5
"when breeding!
",5
"offers a few challenges!
",5
"tap fish
",4
"it keeps force closing on me.
",5
"it just started doing this today 4/28/12.
",5
"i had to uninstall to see if it would fix the problem lost everything i had done and still is doing it
",5
"most cool entertained app
",5
"its kinda word lol but i like it
",5
"i love it and have my whole family taking care of my fish!
",5
"love this game ..
",5
"cute =)
",5
"ok game i like it i had bigger ones b4 i deleted game cant get it back
",3
"love this game and play it every day!!
",5
"i love this game!!
",4
"it's so addicting!
",4
"the only problem i have with this game is that it's hard to get fish bucks.
",4
"you actually have to buy them if totally want more, it's hard to get them for free
",4
"fun and cute game.
",4
"i fcuking love this game!!!
",5
"this game is so fun.
",5
"its easy and u can take ur time with stuff.
",5
"but i love how it has daily goals to achieve.
",5
"there so much to do with in the game that u just want to keep playing.
",5
"so much fun to play
",4
"great game
",5
"i really like this app.
",5
"excellent time
",5
"i love tapfish.
",5
"i love tap fish
",5
"love this game
",5
"love this game.
",5
"great to play anytime.
",5
"haven't had any trouble out if it.
",5
"its great but its too hard to get fishbucks
",4
"this game is like the best game ever i totally love it definetly get i give it two thumbs up there are no problems for me lol
",5
"its awesome, i love it!
",5
"i enjoy this game, its a total time killer.
",5
"best game ever!!!!!
",5
"get this game and i love the events
",5
"i love this game.
",5
"muy buen juego, adictivo, vale la pena jugarlo, solo me gustaria pagar para compare el juego y no salman adds.
",5
"definitivamente excelente.
",5
"i love this game.
",5
"andkids love it to.
",5
"but some of the items an fish cost to much real money.
",5
"it's a resechtion out here.
",5
"lower the prices for things
",4
"yulia i like the game.
",5
"its just i ain't willing to spend money for fish money
",5
"great game but i usually have to try and open the game twice before it finally lets me in 4 stars till fixed
",4
"fun game to play
",5
"good game.
",5
"relaxing live wall paper
",5
"i think tapfish is fun and intaning
",5
"fun but it takes too long for the fish to grow.
",3
"fish bucks should be easier to get and there should be more fish u can buy with coins instead of bucks.
",4
"other then that its a fun game.
",4
"i had been playing for a year, when my tablet died.
",3
"after getting it working again, i had to start my tanks all over again.
",3
"i had 20 tanks and tons of fish.
",3
"lots of time and money down the drain with no help or support.
",3
"tap fish
",5
"this is a blast and is fun for all ages
",5
"great app love it
",4
"finally fixed by devs.
",4
"takes awhile to resolve issues.
",4
"be careful!
",4
"if you change phones, u loose everything!
",4
"fish, coins, bucks, tanks, all purchases, etc!
",4
"fun...fun...fun!
",4
"great app....just wish you could get more fish bucks just playing the game instead of having to buy them.
",4
"awesome game!
",5
"i got a limited edition santa and mrs claus fish thats 2 fish in first lot they are breeding im now getting a christmas turtle (ultra rare)
",5
"awesomely addicting
",5
"a little glitch
",4
"should be a way to exchange coins for bucks even it's high price.
",3
"""fish live""
",2
"is way better!
",2
"uninstalling this
",2
"love this app
",5
"i like the sound of the tanks
",5
"love to play great stress reliever.
",5
"good fun for all ages.
",4
"absolutely love this app......i love fish and all that live in it......this is great.....way cheaper and easier to take care of for sure.....lol
",5
"i love this game it's so fun.
",5
"love it!
",5
"encourages patience in kids and also nurturing living things
",5
"a bit slow but very relaxing
",4
"nice great game.
",5
"love this game.
",5
"..wish i could get breeding tanks without fish bucks though. .no bugs ever!
",5
"it should be easier to get free fish bucks and the ratio of bred fish during events is way off.
",4
"other then that, pretty good.
",4
"having fun need fish bucks
",5
"i love your game it's fun
",5
"great game except the fish bucks that are impossible to get
",4
"very good game !
",5
"addicted to it
",5
"it's  an almost real fish aquarium that you will definitely fall in love with best pet ever--fish to feed, watch, and breed while designing the entire dreamy aquarium theme
",5
"love this app!
",5
"no time for a live fish tank?
",5
"nice app
",5
"i cant put it down
",5
"wish the fish were cheaper to buy
",5
"tap fish is awesome
",5
"best game on the sceen so much to keep you ingested
",5
"this is a great game!!!
",5
"you can take care of fish and they look so real!
",5
"you could get neighbours and take care of their fish and get tap fish money while sombody is taking care of your fish!
",5
"get this game you will like it a lot!!!
",5
"luv feedind my fishies
",5
"it made my phone be extremely slow.
",1
"i like sushi.
",1
"game will not restore since i got my new phone.
",1
"i'm irritated.
",1
"good game for timepass.
",5
"cool game but fish bucks are few and far between.
",4
"too hard to collect the bucks.
",4
"i can't stop playing.... so good.
",5
"game is absolutely brilliant
",5
"cool game rather addicting.
",5
"just wish some of the fish weren't so expensive (in fish bucks)
",5
"i love this game but since i updated it the last time it force closes on me 9 out oc 10 times please fix the problem i have android oltimus
",5
"great game
",5
"tap fish
",5
"great fun.
",5
"but need to be able to trade coins for fish bucks.
",5
"also,  lost my game once and now having trouble getting it transverse to a new phone.
",5
"great game.
",5
"once upon a time i rated this app 5 stars but as of last update my enjoyment level has changed.
",2
"i like getting the extra coins for 100% happiness but that no longer happens because  all my tanks are now 65% at best and i took nothing out of them to change it......there are other weird things going on as well like no algae build up!!!
",2
"nevertheless the game still deserves 2 stars because i still get to see my fish grow!!
",2
"it's kinda boring to me...maybe because i don't fully understand the game
",3
"great way to kill some time!
",4
"this is my favorite game there is never nothing to do on tap fish
",5
"so fun but i lost every thing when i uninstalled it for space.
",5
"i didnt give me an option to restore but it is still really fun.
",5
"also all the fish usually cost a couple thousand fish bucks and 1300 fish bucks is one hundred dollors!
",5
"so i think you should make them cheaper.
",5
"cause noone can really earn all those fish bucks and they probobly wont spend 300 dollors on one virtual fish.
",5
"i am addicted.
",4
"love the fish, so cute.
",4
"great fish events.
",4
"however, i don't want to start over.
",4
"this is really a good game love it
",5
"i really liked the game until i went on and had a tank missing.
",1
"then 14 fish bucks.
",1
"sent an email asking for help and was basically told to be more careful not to delete my tanks.
",1
"i guess i shld have tried to be more careful and not delete my fish bucks too.
",1
"bull.
",1
"thanks for nothing tap fish for your help.
",1
"nothing like spending time on something and having all your work disappear.
",1
"great fun
",5
"also rating this gives me 2 fish bucks.
",5
"really fun game...i play together with my 9 year old and we have so much fun showing each other what we have done...5 *****
",5
"best game for kids to learn how to take care of they'er fish pets
",5
"great game
",5
"this is a cool game.
",5
"i am very upset and want something done now.
",1
"this had never happened.before.
",1
"i got the same, congratulations, ur bucks will appear shortly.numbing jumbo and days later still nothing.
",1
"i either want my money back or my f'ing fish bucks.
",1
"what the hwy k is going on.here!
",1
"very upset w tapfiah
",1
"nice game.
",5
"enjoy it
",5
"great at to waste time at but i wish to fish didn't cost so much to purchase
",4
"wish there was an easier way to make fish bucks!
",4
"best game ever.
",5
"but need to be able to get mote fish bucks and the levels should be shorter
",5
"i can't get enough of this app.
",1
"however i would like my fish and items earned and purchased from my prior phone..please.
",1
"then i will 5 star again! :)
",1
"love this app
",5
"i am really enjoying this app.
",5
"it could be alittle better if there was a way to cash in coins for bucks
",5
"great game i love it
",5
"no access for 2 weeks since update.why are you not fixing this bug for us.
",3
"forces close on opening.
",3
"fish look mostly realistic.
",3
"they don't have enough varieties of creatures/decorations for the currency you mostly make in game.
",3
"example i dont think seahorses are available for coins only fish bucks.
",3
"also prices seem a little high for most items in both currency.
",3
"would have liked to add my friend as a buddy but she uses iphone and i have android.
",3
"terror fish.
",1
"dont give those assholes access to your phone data.
",1
"i like this game i played it sence i was five
",5
"passes time...
",5
"super fun and keeps my 7 year old daughter busy.
",5
"i really like this game.
",5
"just wish it was easier to get fish bucks.
",5
"i love tap fish... never locks up runs great on my nexus 7
",5
"i still haven't been compensated !
",4
"also, alot of the free buck opportunities, do.not give you.the bucks and the fish prices have become outrageous :(
",4
"fun and makes a neat background but hassle to get enough fishbucks to buy stuff should b able buy stuff wit jus coins kinda dumb they want u use real $ for fishbu ks to get stuff for fake fish on a free app
",4
"awesome game
",5
"i really enjoy this game im at level 71,been playing since jan the yr.
",5
"i give you guys a lot of credit making it pretty easy to   get fishie bucks unlike many games that make it almost impossible.
",5
"i also understand the need to make money to keep the game going.
",5
"but when you put a quest out lately the things you need to buy are pretty high.
",5
"during the quest would it be possible to get these items at a discount?
",5
"then once over and people still want the fish for their collection have them at full price.
",5
"it's like taking care of real fish but when these die you can revive them back to life.
",4
"i must admit that i have been harsh in my reviews of tap fish by gameview studios in the past, however that is no longer my opinion.
",5
"since it's debut in 2010 they continue to add new fish & adventures that make each day a delight & a nice escape from the worries of my own poor health.
",5
"thank you darrell-
",5
"my 3 year old son just loves watching the fish swim around for hours!!
",5
"thank you
",5
"i love this game!
",4
"needs a sell all button
",5
"i would give the better rate but you did upgrade and i can't work with cleaning or feeding please fix this
",3
"great game.
",5
"very addictive.
",5
"give you something to look forward to when you look in your phone
",5
"great game to kill time with.
",5
"just amusing
",5
"u can't bring ur tanks with u to a new phone :(
",4
"after new update...help - urgent help - catastrophic tapfish failure - cannot restore 70 tanks - help  daily bonus free spin did not download.
",1
"foreclose.
",1
"i had 70 tapfish tanks - help -help - urgent help!!!
",1
"please advise asap - please help, urgent.
",1
"please restore my 70 tanks.
",1
"my baby gurl loves it
",5
"i'm on round 2 of playing i was in my lvl 30s before getting a new phone and wanting to start again.
",5
"this game is funny
",5
"this game is slow but it is amazing get it !
",3
"haveing fun
",5
"great fun
",5
"it takes about twenty taps in one spot to clean the tank.
",1
"wicked annoying.
",1
"upgraded my phone and now i can't get my old stuff back uninstalling unstatisfied.
",2
"update: lowering from 4 to 2 * due to earning fishbucks issues...i have been receiving less fishbucks upon completion then the offers state.
",2
"one said 22 would be earned and i only received a few (i believe it was 3 for that one).
",2
"another i just completed by installing and opening robinson said it would give 7 and it only gave 2.
",2
"it happens too often to be an isolated glitch.
",2
"it seems as if you deliberately overstate the amount of fishbucks for offers.
",2
"many never pay at all.
",2
"i can't even see the quests with the new update and if i accidentally hit them it force closes and asks what way i want to send an email.
",5
"that doesn't even make sense.
",5
"also it's slower than before and seems to have more excuses to force close.
",5
"i wish it hadn't updated.
",5
"awesome and additive
",5
"i try to find ways to make the most coins.
",5
"fix the way u click sponge n change tank to clean it is easy to do and less time consuming
",5
"don't bother updating, the past version was much better.
",1
"they have gone and phucked it up again.
",1
"tanks list spacing is huge, cleaning tanks lags, can't continue action after switching tanks (buying fish for multiple tanks in series), opening breeding tanks lags, battery usage seemed to improve though....  thought they would have tested this update a bit more since the disaster that happened last time...fix.
",1
"version 2.45 (1-8-13) droid bionic
",1
"just starting out, but it's already becoming addicting!
",4
"love this app
",5
"fun yet challenging
",5
"awesomely fun so cute
",5
"loveeee it so much fun.
",5
"this game takes to long for the fish to grow up
",5
"gotta love this game.
",4
"i love this game but i wish they would put more time in evints!
",4
"~lela
",4
"very entertaining.
",5
"much easier than real fish!
",5
"and my kids love it.
",4
"great game...needs more things to earn coins n bucks
",5
"didn't get the new year event until yesterday and it will only be open 2 days.
",1
"this game hardcore tries to get your money.
",2
"it starts you off with simple goals then every achievement after that requires you to buy fish bucks.
",2
"if your looking for something to waste time with it's not bad.
",2
"otherwise be prepared to blow money.
",2
"i'd give it above 2 stars if it had more achievements that didn't require blowing money.
",2
"but you have to do something because as the game progresses it starts eating phone memory
",4
"earning fish bucks is a joke......otherwise it is addicting.
",5
"lovely game
",5
"after the latest android update...my 70 tanks are gone.
",1
"i begged for help many, many times & waited for days.
",1
"finally, tapfish responded = my game, all my fish, 70 tanks, 250million+ coins, 175 earned fishbucks...all gone.
",1
"i played for over a year.
",1
"goodbye.
",1
"i love the different fish!
",5
"fun & easy
",5
"the wait for breeding and growth sometimes takes the mick though
",5
"ok but you neds loads of fish bucks
",4
"this game izz amazing
",5
"i luv this game
",5
"everytime i open tapfish it immediately closes n i have to tap it again to get it to start.
",3
"i just got a brand new phone and its still doing it.
",3
"can yawl fix that plz? not only that, how can anyone afford to breed fish when they're so expensive??
",3
"plz make them more affordable, this is a game.
",3
"i would rate higher but ive played this game on and off on seperate devices for about a year and there has been not many changes......upgrade and ill change my rating
",3
"i love it and when i revive my fish it is just 1 dollar!
",5
"love this game just whish it was eazier to gain fish bucks but its the best game yet
",5
"best game ever, i like it.
",5
"great update now battery usage seemed to improve and i love the thank list, for me and my android is working fine.
",5
"love this app :)
",5
"did update now i cant clean.
",2
"tank not showing the dirt.
",2
"constantly closes and when it does open it closes in the middle
",1
"i would give the better rate but you did upgrade and i can't work with cleaning or feeding please fix this
",3
"it would be a really nice add-on to have a link straight from the trophy room to buy required fish.
",4
"sometimes it's hard to find the fish you need.
",4
"good game but kinda boring when there are no tasks to complete.
",4
"keep the tasks coming!!!
",4
"this is the best game ever..
",5
"i just wish there were other things to download to get free fish bucks.. ?
",5
"i love this game.u have a wide range of fish and its easy to add other people
",5
"ever since the update i can't clean my tank and my happiness for each tank went from 96 down to the 50's. now i can't get bonus money well selling fish.
",3
"please fix asap!
",3
"great app just wish you could level up quicker to get more fish.
",4
"i love this game it gives the kids somthing to do and kinda learn how to take care of fish and its somthing to do in your spare time
",5
"great game
",5
"since the last update my live wallpaper doesn't show any of my tank decorations.
",4
"tried few of the free aquarium games and think this by far the best.
",5
"hours of fun a day
",5
"i like this game but wish you didn't have to use money to complete half the tasks...there should be minor challenges & games to earn fishbucks instead of having to use real money, kinda bs
",3
"its superb its phenomenal its perfect
",5
"tap fish
",5
"was working good but now i can't clean my tank
",3
"i have spent too much on fishbucks now i'm having trouble with events
",1
"sooo much fun!!
",5
"addicting!
",5
"love the game but don't want to but fish bucks, u can get them for free on android by downloading some games but depends how much u wanna play .
",4
"update sucks - just downloaded latest update yesterday and now i can't see when algae builds up in my tanks and i can't clean them and all of my fish are miserable.
",2
"update and fix immediately please!
",2
"check out fish live and forget this.
",1
"i enjoy playing this a lot.
",5
"its fun just not many options 4 breeding w/o money
",3
"its a game to have when you arent doing anything .
",5
"i got a good passing time game if you will
",5
"very addictive.
",5
"i check it daily..most often hourly.
",5
"it's just fun.
",5
"awesome seasonal breeding.
",5
"been playing for over a year and still check it hourly.
",5
"at first i loved thiz app then i download the update it dosent let play
",1
"i love this game.
",5
"its a awesome game but i have downloaded a couple things and did surveys on some and it wont give me my fish bucks fix this and i will give the game a 5 star rating again
",2
"i just wish the fish would be cheaper.
",4
"well, its a great game.
",4
"just when downloaded, when switching over to one breeding tank to the next i really can't. cause, its messed up.
",4
"over all i love tap fish.
",4
"there should be another, afterwords..
",4
"i refused to play games on my phone.
",5
"until i started playing tap fish.
",5
"the wonderful stress reliever.
",5
"i love tap fish
",5
"oooooohhhh best game ever i gave up excercises for this ap ftw
",5
"this is a really fun game if you know how to play it.
",5
"do only the challenges that you want to invest the fish bucks in.
",5
"otherwise, just enjoy the free events; they are plentiful and fun!
",5
"enjoy!
",5
"great game.
",5
"love that you can have your tank as live wallpaper.
",5
"so far no tech probs.
",5
"love this game its fun eazy and entertaining but where are my fishbucks i have compleated  over three offers and habe goten nothing i compleated a mc donalds servey for 25 a shipwhrecked for 25  tap ranch for 7 and the darksumener for 27 waited two days now and nothing please fix this
",2
"tap fish
",5
"this app is very fun to play, i'd especially recommend it to those who love fish and marine life!!
",5
"i love this game there is always something ilove the frog event
",5
"i wasn't sure if i would like this game, however i've been playing tap fish for a little over a week now with my 4 year old daughter, and i must say that it is a really cool game, and it keeps my daughter busy when i'm cleaning house!!!
",5
"great game i love how you have special events and its fun.
",4
"wtf'z the gag with these stupid frog bubbles.
",1
"i've played this game for months wirhout nyproblems.
",1
"all of a sudden frog bubbles come.
",1
"into the game n it freezes every time i try to play.
",1
"sort it da ell out
",1
"its a cool game
",5
"i don't normally like these games but i am really enjoying this one - playing with my mum and love raiding her tanks!
",4
"this game is good everything works ok but its really slow and i keep losing loads of coins please fix this
",4
"love it!!
",3
"just wish some of the fish weren't so freaking expensive!
",3
"ay yay yay!!
",3
"love the 'event's tho... super fun!
",3
"it gets harder and harder to level up to purchase enough tanks for all breeds of fish and the event fish.
",5
"this is a fun way to pass the time but the developers are way too greedy.
",4
