text,rating
"It blends well with Ice Cream Sandwich operating system.
",5
"Auto text including voice text is working nearly perfect.
",5
"Better if it can also learn from WhatsApp conversions
",5
"I love the auto correct.
",5
"I wish it would let me add custom words.
",5
"Seems like it won't stay the default keyboard on jellybean.
",3
"Asus Nexus
",5
"This app is fackin amazing I must admit I hardly av to type :p
",5
"If you text very often, you should have this application, you can write in a very short time
",5
"This keyboard has just the right amount of customization, I can change the height of the keyboard and the themes that come along with it look gorgeous on my super AmoLED screen.
",5
"Its predictions are always accurate for the most part.
",5
"And the new space feature is great!
",5
"Had the demo trial and it was decent this is even better.
",5
"Totally worth the $4.
",5
"Been using this a while and generally liked it.
",4
"Two-word prediction is a good update, but lately I've found if you mistype the first letter of a word, SwiftKey will never get it right, even for something obvious.
",4
"Seems to be since getting Jelly Bean.
",4
"Hoping the update will fix it.
",4
"I have had my bank account hacked into and i believe its from this app because it says when u install that it monitors your password etc.  Uninstalling!
",1
"Actually saves time and remembers your words, even slang you might use with your friends, and thinks ahead so u don't have to type full words!
",4
"Bit pricey though!
",4
"Would have preferred it to be slightly cheaper!
",4
"JB may be closing the gap, but this is hard to let go of.
",5
"This is the only reason I give 3 stars.
",3
"I prefer JB keyboard just because of the Swiftkey memory usage.
",3
"Potentially the best keyboard available.
",2
"However the thing keeps forgetting (or never axtually) saves custom words.
",2
"Surely aoat basic feature?
",2
"This app is gr8 i love how customisable it is and how easy it is to use but it keeps crashing my phone.
",3
"Its not like i dont have a lot of memory and such it is because the keyboard uses a fuk load of it plz fix this bug.
",3
"I just started using SwiftKey but has been great.
",4
"Ive always used go keyboard because of all the customization.
",4
"Different font, colors, background etc. Only thing thats a downfall of swiftkey.
",4
"Like 4 theme keyboards and you can't change anything else.
",4
"The stock Android keyboard gets better with every release, but the keyboard layout and excellent auto-correct on swiftkey 3 cannot be beat.
",5
"I have owned over 15 phones in the past 2 years, and by far the swift keyboard surpasses all of them.
",5
"I rarely make any mistakes and the more you use it the better it gets.
",5
"I have had this keyboard for a year and I really like it but it takes up to much space on my already limited internal memory.
",4
"The dot com button is annoying.
",4
"Best keyboard I have ever had I can't even find anything negative to say.
",5
"Won't install error 941
",1
"Autocorrect is frequently and obnoxiously wrong.
",3
"I can't find a disable option.
",3
"I LOVE everything about this keyboard.
",1
"Except the fact it drains my battery.
",1
"84% of battery is this app.
",1
"Best Android keyboard!
",5
"I like the app and the way it predicts words and gives the statistics.
",4
"However I would like to see more color selections!
",4
"Once you get used to this keyboard, you can never go back to the standard ones built into most phones.
",5
"Everything from the intelligent learning of your personal texting style to the sleek design and interface is polished and functions flawlessly.
",5
"Great App.
",5
"This is an excellent keyboard that I enjoy using for fast typing.
",5
"Glad it has Arabic support but it's missing Japanese as well.
",5
"When can we expect to see Japanese support?
",5
"Simply brilliant.
",5
"I love this keyboard so much but whenever I need to type in Japanese I have to switch to another keyboard.
",4
"Please help me by adding Japanese language support and then it will be truly perfect.
",4
"One complaint though, I'd really like to see a very plain and simple keyboard layout, plain dark colors no bringt blue or green contrast, and a similar in light colouring.
",4
"Very similar to the stock ics keyboard.
",4
"This is one of the most best keyboard for Android Phone.
",5
"It will be perfect if there is Chinese input.
",5
"It's a great keyboard! :-)  Would give 5 stars if a personal dictionary is added as well as the option to learn from whatsapp.
",4
"This is the first app that I have paid for ever.
",5
"Since the latest update it is not as predictive as it used to be so a little disappointed now.
",5
"If this keyboard didn't give spastic fits whenever I was trying to edit text or lag out doing whatever only God knows in a corner whenever I need to use it, then maybe this keyboard would outright be the best Android keyboard (Swype is a contender but it loves to spontaneously combust).
",3
"Otherwise, it has top notch word correction and extremely creepy and potentially embarrassing prediction.
",3
"One of the best apps I've ever downloaded!
",5
"I wasn't too impressed with the standard keyboard on the galaxy s3, but now.
",5
"Well worth the paid version.
",5
"I'm the kind of guy that has to stop walking to text (so not too hot at it).
",5
"I tried the trial and SwiftKey keyboard is a God send, hands down.
",5
"The only (albeit minor) complaint is that I am so used to spacing after a period and SwiftKey (being more efficient than I am) automatically creates the space.
",5
"Therefore, I sometimes write an unnecessary word.
",5
"You'll end up doing so anyway.
",5
"I never would have thought that I'd want a pay keyboard.
",5
"Then I tried SwiftKey and couldn't go back.
",5
"I have been trying just about every single keyboard there is out there on my galaxy s 3 and  just about every other word was misspelled or auto corrected wrong.
",5
"I've been using this app for a little bit and I can say it is by far the best you can get.
",5
"This keyboard's predictive ability is amazing.
",4
"It is really easy to use and the predictive text is much more accurate than the swype keyboard.
",5
"I even typed up an entire blog post on my phone.
",5
"All we need is Chinese input (strokes)
",4
"This is by far the best experience I have had typing.
",5
"Exellent app
",5
"this is a really great keyboard and I love it but the thing about it makes my phone lag.
",4
"I don't know why. only keyboard that does that.
",4
"I've tried a bunch of different keyboards and the only one that really works for me is SwiftKey.
",5
"The predictions are accurate and helpful.
",5
"Highly recommended.
",5
"This keyboard app is by far the best on the market that I have tried.
",5
"Fixes my spelling mistakes!
",5
"After using the stock keyboard and trying a few others I can say for English it makes typing on my phone much more bearable.
",4
"I don't like typing on touch devices, but sometimes I don't have a choice.
",4
"Now I'm just waiting for them to release Chinese and my Android keyboard needs will be fulfilled.
",4
"Ok, we need an update for this which until Jellybean came on the scene was faultless.
",1
"Now each and every time my phone is switched off and back on it defaults to the stock keyboard.
",1
"So I gotta go into setting and recheck SwiftKey as preferred keyboard.
",1
"This is by far the best keyboard app iv ever and will ever use in my life its a learning keyboard so I knows what your going to put next.
",5
"I wrote this mostly hitting the space bar.
",5
".feature, recently announced but still hands down the best.
",5
"Should be stock keyboard.
",5
"Tried the trial app 1st.
",4
"Great app.
",4
"Downloaded the full version.
",4
"Little disappointed.
",4
"I use the voice input quite often.
",4
"Doesn't work 90 percent of the time.
",4
"But overall good app.
",4
"But wish I could download more themes
",4
"Tried many keyboards, including Go keyboard and this one is the best by far.
",5
"This little app is a gem.
",5
"Don't even waste your time getting the free one.
",5
"Buy the whole thing you won't regret it.
",5
"This app has saved me so much time.
",5
"I can type fast without worrying what I am typing because it will auto correct and predict what I will say!
",5
"The only thing I'd like to see if the choice to add different themes for the keyboard other than that awesome app guys!
",5
"It's so good, hate using my phone keyboard, it's just not the same!
",5
"It's easier, better, and just faster.
",5
"I would have rated it 20/5 stars if we could just shortcut letters or words to other words.
",4
"For instance, if I were to type ""u"" it would automatically put ""you.""
",4
"And putting ""r"" would automatically put ""are.""
",4
"Amazing keyboard app.
",4
"Upgraded from trial.
",5
"Works WAY better than the stock keyboard on galaxy s3.
",5
"Also very setting rich-tons of customizing options.
",5
"No complaints on the !? slide  function.
",5
"I actually love that feature.
",5
"Well worth paying for IMO. :-) Most of the 'complaints' are actually fixable by adjusting the settings, jeeze.
",5
"Use it before you review it, duh!
",5
"Doesnt work with Emoji
",2
"Awesome app.
",5
"Been using it since I first downloaded it.
",5
"Haven't used the default keyboard on my phone at all.
",5
"After getting the GSIII I was a little bit unhappy with the stock Samsung keyboard and predictive text capabilities.
",5
"Without a doubt this new SwiftKey keyboard met and exceeded my requirements.
",5
"It has made me ""50%"" more efficient and saved me ""4000 keystrokes"" in less than two months.
",5
"I will highly recommend it to anyone with a new phone and I clumsy fingers.
",5
"Plus the endless personalization, themes, and colors put it over the top in my mind.
",5
"Extremely inaccurate when texting I hate this keyboard wish I could have refund.
",1
"Would have given this 5 starts if it worked well with king soft office.
",3
"Needs to switch back to abc after typing numbers and pressing space bar.
",4
"used to hate typing on my HTC one x but now it's a pleasure  :-) :-)
",5
"This the only app I've ever paid for.
",5
"Samsung Galaxy keyboard sucks.
",5
"Edit: Clearing the cache improves the performance somewhat.
",2
"But the stock keyboard is still faster.
",2
"However, now with Jellybean 4.1.2 when swift key is selected as default keyboard, it takes quite awhile for the keyboard to open up.
",2
"This delay is gone when I switch to stock keyboard.
",2
"Please check and fix this problem as I am used to swift key now.
",2
"Used to love this ,but recent update has punctuation and prediction bugs gallore.
",5
"By far the best keyboard available on the android market, tried it for thirty days and was immediately hooked.
",5
"Never thought I'd pay for an app, very glad I did.
",5
"Have been using SwiftKey for almost a year and it's hands down the best.
",4
"However, I can't believe there still isn't support for Chinese pin yin typing.
",4
"Like it most the time, but so SICK of it crashing when I copy/paste or even selecting text can cause it.
",3
"Also hate how hard it is to multiple space after punctuation, and other functions after punctuation as well.
",3
"Works great most of the time just wish keys were a little bigger and more themes
",4
"I am a recent switch from the iPhone and found the Droid keyboard to be horrible.
",5
"This app is a must have if you are an iPhone convert.
",5
"Don't wait a second to buy this one.
",5
"I can't even Download the lanuage packs.
",1
"If I find a solution I'll change my opinion.
",1
"This is the best app I have come across I love it never going back to regular keyboard again.
",5
"I love it but for some reason it's been waiting to have trouble with typing the right letters & symbols.
",4
"Also we need more themes!
",4
"After using swype I never thought a keyboard could be better. yet after using this after a few weeks I was sold.
",5
"I honestly do not know how I have been functioning before this app.
",5
"At first I downloaded the trial version to see what all the hype was about.
",5
"Unhelpful keyboard!
",5
"The layout of the smiley faces and the main punctuation keys just make so much more sense!
",5
"Had to cough up the 4 bucks for this one.
",5
"Excellent keyboard, my favorite since I had the original Evo.
",5
"Using it on my Samsung S3.
",5
"Needs better galaxy note 2 support.
",2
"As people have said, awesome predictive text,  but in addition to that, the interactions are smooth, the typing is much more responsive than stock AND it still uses the Jelly Bean native voice dictation and typo correction.
",5
"My favorite keyboard by far.
",5
"Please add more themes, such as an ability to choose the colors of the keys, letters, and background.
",5
"Also a bunch more customizable options.
",5
"I love being able to customize my phone.
",5
"Major issues with Chrome fields.
",1
"Jumps all over the place, erases characters.
",1
"Pretty much unusable.
",1
"I love this app, its just missing a few things.
",3
"Best purchase on Google play
",5
"When it works it's 5* but the constant error message 'Unable to load language packs' has annoyed me and made it unusable.
",1
"Deleting the folder in 'sdcard/Android/data' only works for about a day.
",1
"I used to have five star love SwiftKey, but now that I'm on ICS, I'm having lots of problems.
",2
"Two stars until they get their act together.
",2
"The best app I bought for my phone.
",5
"It makes typing on a small keyboard really convenient.
",5
"Since I have it I actually use my phone to write longer texts.
",5
"Auto correct and easy swipe delete make it worth the money
",4
"Been using it since basically day 1 of me on Android and couldn't even think of using another keyboard.
",5
"Text predictions randomly stop working.
",4
"This app was a revelation but seems to be worse now than when I first got it.
",3
"The big issue is that it regularly fails to predict very simple words when I omit the space or get just 1 or 2 letters wrong.
",3
"It's the fact that it's getting simple things so wrong that's the issue.
",3
"It also seems to have no understanding of concept, which wasn't so in the past.
",3
"The layout is still brilliant though and it's still a far better option than anything else but it's not as good as it was and improvements are needed.
",3
"But I don't understand why I need to pay again for a tablet version.
",3
"First purchase I recommend to all my friends switching to android.
",4
"Leaps and bounds ahead of stock keyboard on S3.
",4
"Would have given it 5 stars if it wasn't for that "".com"" button when you're typing in the address bar.
",4
"You'll understand when you're using the address bar to search.
",4
"Every unfocused attempt to click the space bar becomes "".com"".
",4
"Fix that and this app is the best in the play store.
",4
"Great app, helps a heeps load.
",4
"Add more themes, then I'll be satisfied.
",4
"Is that i can adjust the timing on the hold-key-to-get-symbol-feature.
",5
"I can insert numbers and symbols in 0.2 seconds!!
",5
"Once you'll try it, you will feel the urge to stop using the trial to have the complete version.
",5
"Whatever the problem was, it appears to have been fixed.
",5
"This keyboard rocks!
",5
"Love the keyboard but I frequently get ""cannot load language packs"" error.
",3
"Big pain in the rear.
",3
"There is a bug on function and shift buttons on physical keyboards with cm9 on this version.
",1
"Works fine with swiftkey x. I love it but it makes the physical keyboard nearly unuseable.
",1
"Once its fixed a solid 5 stars from me.
",1
"Typing this review using SwiftKey currently.
",5
"It's exponentially better than the standard keyboard on my sensation 4G and I like the customization.
",5
"One of the few apps I don't regret purchasing.
",5
"Great app!
",5
"I'd marry it if I had to marry a keyboard.
",5
"Love the app except for trying to enter form data and numerical predictions!
",5
"It locks on a combination and makes it nearly impossible to correct.
",5
"I have been waiting for Chinese input for more than a year.
",3
"Even swype has Chinese pinyin for quite a while.
",3
"SwiftKey need to cater for more market and introduce Chinese asap.
",3
"Why are smileys not long press on txt and chat apps?
",3
"I have even tried the Android 4.2 apk keyboard and this one is better.
",5
"I use this app more than any other app I have.
",5
"It's uncanny how intuitive this app is.
",5
"Definitely speeds up typing on these tiny key boards.
",5
"IT'S WORTH EVERY CENT AND THEN SOME!
",5
"The app works fine then all of a sudden nothing.
",1
"Again, reinstalled 4 times in the last 3 days.
",1
"Still waiting on Japanese support.
",3
"Every time the phone restarts I have to go and set the keyboard to swift key.
",1
"Terrific app,worth the 4 bucks!
",5
"5 stars, best app I ever purchased
",5
"Every time the phone restarts you have to manually change it back to SwiftKey, fix plox.
",1
"The default keyboard on the Samsung Galaxy S3 is terrible!
",5
"I almost returned the phone until I found this SwiftKey replacement for the keyboard.
",5
"I can type really fast with great accuracy now!
",5
"This app would be perfect if I could toggle none-to-all auto-correction features on/off.
",4
"For example, if I could turn off space after punctuation, or turn off the automatic removal of a space when typing a question mark, and so on.
",4
"This keyboard has great dictionary support but has way too many auto-correct features to be all-round useful.
",4
"It's sad that I have to disable the keyboard from time to time out of frustration.
",4
"Must have but it will be much better if there is an option not to learn from specific files.
",5
"I love this keyboard.
",5
"I just wish there were more themes to choose from.
",5
"The app is awesome when it's actually predicting and correcting your typing.  but it's quite often that the prediction tab across the top is inactive.
",1
"In these situations predictive text does not work.
",1
"And typing is tediously slow having to correct nearly every word!
",1
"Makes texting so so much easier.
",5
"Coming from an iPhone the messaging on my S3 was hard till I was told to download this app.
",5
"Fantastic and better then any other texting I've used.
",5
"Best keyboard I have used, muuuch better than the S3 standard.
",5
"Predictions are really useful (and accurate).
",5
"Still can't seem to do multitouch correctly.
",1
"They get detected as swipes and delete words and hide the keyboard randomly.
",1
"Add More themes!
",5
"It keeps getting better at predicting and correcting my messages/tweets/updates.
",5
"Seems somewhat laggy after jelly bean as well as not predicting as much.
",4
"I deleted because you can't take off Auto-Correct
",3
"I have the severist form of an autoimmune joint disease that makes it difficult to text.
",5
"Im young too, so it sucks.
",5
"This app adds to the quality of my life by recognizing my text style and remembering my words.
",5
"Fantastic word predictions.
",4
"Lost a star for the occasional stability issue.
",4
"This happens around once a month.
",4
"I have a galaxy s3 and hate the Samsung keyboard.
",5
"So I got this keyboard and I absolutely love it!
",5
"Wish there was more themes though.
",5
"This keyboard is amazing.
",5
"It's like Science Fiction good.
",5
"Near perfect accuracy for smart space, learns everything and predicts like it's reading my mind!
",5
"I can type whole emails without even having to spell out a single word.
",5
"I just tap the sentences out from the predictions.
",5
".but after last update it's total crap!
",2
"I'm using Croatian layout and we used to have Croatian letters underneath regular i.e. long press.
",2
"Now there are 5 croatian letters at most right making all keys unbelievably tiny!
",2
"And I don't want to type in landscape.
",2
"If you can't fix this (that ? is under c, ? is under z, etc) please refund me.
",2
"I'm sorry for one star, but this is completely your fault.
",2
"This is a very awesome keyboard with very accurate prediction, I love it very much.
",5
"But please add Chinese language support, really need it.
",5
"Fantastic keyboard app.
",5
"now constantly crashing on ICS
",2
"This app knows what i'm gonna type next just like a soulmate.
",5
"Bought it after using the demo for 2 weeks.
",5
"Great value and a real time saver.
",5
"Much better than stock ics its crazy yo
",5
"Best keyboard hands down!
",5
"Predictions are scary accurate and I just I just got a notification telling me that I've saved myself over 10,000 key strokes.
",5
"I finally have a keyboard that I like & love to use!
",5
"It does take a day to configure it the way you want it, but after that. awesome!
",5
"I never thought I'd be really ready to give up my physical keyboard from my smartphone.
",5
"This keyboard changes that.
",5
"I tried Swype and it was good, but I hated trying type words and the accidently swyping and messing up.
",5
"The prediction engine is awesome.
",5
"Brilliant keyboard.
",5
"Waiting for flow.
",5
"Add learn word prediction from whatsapp and viber for better predictions.
",5
"Makes texting easy well worth the money
",5
"This was the first third party keyboard I tried on Android and the one all the others are measured against.
",5
"And none of them measure up.
",5
"Some are getting close but then a Swiftkey update comes along and leave them back in the dust.
",5
"This is the only who's predictions and corrections I really trust without looking back.
",5
"Makes me make lot's of typos and if i tilt it i can't see all what i type.
",3
"Extremely annoying if it wasnt for the multilingual, i would've deleted it.
",3
"Great keyboard and it make my typing so easy.
",5
"I've had this app for a long long time.
",1
"And I truly love it.
",1
"It also looks and feel awesome!
",1
"Every time that I type, or am about to type.
",1
"In my notifications bar, a little keyboard thing pops up.
",1
"It says ""select keyboard input."", the only problem with that is that I have already chose SwiftKey!!
",1
"I have tried it like 1thousand times!
",1
"It really hurts me to give you a one star for this amazing app, but could you please at least attempt to fix it?
",1
"When I type an email in Outlook or Gmail, this program does not allow me to delete commas, question marks or periods.
",3
"Love the product otherwise but this will cause me to stop using the product.
",3
"I have an LG Spectrum.
",3
"This does not have the numeric keys.
",3
"It doesn't have swype
",1
"Thanks for letting me know! how to disable automatic Correction.
",5
"Excellent keyboard.
",5
"There are no predictions given when typing in any of the browsers I have installed.
",3
"I absolutely love this keyboard.
",5
"I bought 3 days after trying the trial version but the only thing I'd love to see is if they can remove the + and the - and all those shortcuts from the.
",5
"Typing keyboard.
",5
"It'll just make a cleaner more attractive look!
",5
"The most efficient typing application out there.
",5
"Love the predictions and auto-corrections.
",5
"Typing is a breeze now.
",5
"Totally worth the price.
",5
"Hope it supports Chinese typing soon.
",5
"I have a Samsung galaxy s2 that was constantly crashing, amongst other problems.
",1
"It went off for a repair and came back perfect until I installed swiftkey 3 again.
",1
"I emailed the devs but never got a response.
",1
"Very disappointed that I wasted my money on this!
",1
"Swiftkey also kept deleting words as I was typing for no reason.
",1
"Scoured the boards but couldn't find anything and emailed the devs over this issue too and again didn't get a reply.
",1
"Easily better than the default keyboard, and arguably better than swype.
",5
"The learning and word predictions work better than you think!
",5
"It makes it super easy to text in English then portugu锚s without having to switch to a completely different keyboard.
",5
"Juz love this keyboard!
",5
"Save me sooo much time!
",5
"However, I can't type Chinese characters with it.
",5
"Saves me time every day.
",5
"Predictions work very good and overall very solid app with lots of options and customization.
",5
"Thanks Dev.
",5
"Huge battery drain
",2
"Its awesome just wish it had emojis
",4
"Plesse add in Chinese keyboard.
",3
"It starts in the middle of a word or some place random that makes no sense.
",1
"I can't believe I paid for this keyboard. it is truly the worst keyboard ever on a galaxy S3. i hate it and I want my money back.
",1
"I've had this app for a long long time.
",1
"And I truly love it.
",1
"It also looks and feel awesome!
",1
"Every time that I type, or am about to type.
",1
"In my notifications bar, a little keyboard thing pops up.
",1
"It says ""select keyboard input."", the only problem with that is that I have already chose SwiftKey!!
",1
"I have tried it like 1thousand times!
",1
"It really hurts me to give you a one star for this amazing app, but could you please at least attempt to fix it?
",1
"Very awesome.seriously need a personal dictionary mode for shortcuts besides that 9 of 10 peoplerecommend
",5
"Like just about every aspect other than that the keyboard lags when I type fast and occasionally freezes for a few seconds at a time.
",3
"Keyboard just wished there were more emoticons to choose from.
",4
"Ak za nieco platim, chcem aby to bolo podla mojich predstav a bez chyb.
",1
"Klavesnica castokrat zadava  velke pismena A, V v strede vety a 9 MB zabera v internej pamati, co je pre mna dost vela.
",1
"Ak sa tieto 2 nedostatky odstrania, tak mate odomna 5 hviezd, kedze je to mudra a rychla klavesnica.
",1
"Predict row gone after switching tasks.
",2
"Backspace on auto correct doesn't undo correction.
",2
"Long press predict doesn't have similar words.
",2
"This is way better than the stock GS3 keyboard.
",5
"There is no better keyboard.
",5
"Predictions so good I let go of a hard keyboard.
",5
"Works perfect with htc wildfire fantastic keyboard thank you very much 5 stars
",5
"best app in the world
",5
"Brilliant application
",5
"I have used this for more than about a year now and it's simply awesome nothing can beat this
",5
"STILL NO OPTION TO DISABLE SWIPE GESTURES!
",1
"This was an option at one point, why was it removed?
",1
"This keyboard is useless with swipe gestures enabled as typing even slightly fast causes you to accidentally delete words.
",1
"My first ever comment for an app and I'm doing so because of unbelievable utility of SwiftKey.
",5
"My inbox is inundated with constant emails and texts which require an immediate response.
",5
"The Samsung keypad had it's advantages but I would still be keen to get things done faster which led me to download the trial version.
",5
"What struck a chord was the ability of the app to predict my own next word before I've even thought of it.
",5
"A few emails later and now I'm even writing a review which should speak for itself.
",5
"Really love the keyboard but new update changed layout for the worse for me.
",5
"No longer places apostrophes in I'm (it just types im or tries to correct to in).
",5
"No easy press for exclamation mark and question mark.
",5
"Takes me longer to type stuff than before.
",5
"New update sorted it.
",5
"very easy to use, and real nice layout.
",4
"But, can you please add options to choose if i want the words prediction bar! that would be great.
",4
"Also if i could also customize some punctuation buttons in the main keyboard.
",4
"Even for missing tons of letters.
",4
"Especially love that you can keep texting and it separates the words for you.
",4
"However, I do wish that there for maybe 4 or 5 instead of just 3 words that popped up for you to choose from.
",4
"The new swype beta offers as many as it can fit which is nice and that's why I used it, cause it had swype and accurate predictions(more than 3).
",4
"Hopefully swiftkey flow will bring something like that to compete.
",4
"Fix the chrome freeze and crash that happens only when using Swiftkey3.
",1
"P.S. All apps up to date.
",1
"This keyboard is much better than the average keyboard.
",4
"Its a great app but its not working for tumblr.
",5
"Can i get some developer support pls?
",5
"one thing is need more theme's!.
",5
"I'm dumb as a rock when it comes to spelling .
",5
"SwiftKey makes me text like a college professor.
",5
"The prediction of the words is crazy, like I will make a massive typo and it will know what I ment totally worth the bucks
",5
"Prediction works like a charm
",5
"Work's like a charm, amazing product!
",5
"This is the most accurate keyboard application I've used and it gets increasingly more accurate.
",5
"The predictions are surprisingly accurate in 'rapid' style.
",5
"I very much recommend buying this.
",5
"I just wish the '?' was a long press on the 'm' key.
",5
"Worth the price.
",4
"The S3 keyboard is horrible.
",4
"Didn't think I'd find a keyboard on Android to rival the iPhone's, but this is even better.
",5
"My only gripe with it is that you can't do the double tap the space bar thing to add a period.
",5
"It freezes when ever I try and search something that on the search engine and when it does freeze I press the home and when I do get home it the keyboard is still there and I can't get rid of it and it happens frequently.
",1
"Crazy that a third party app works better than the keyboard that came on my phone.
",5
"Very comparable to iphone keyboard.
",5
"This keyboard brings my galaxy s3 to life.
",5
"I came from having a physical keyboard to this, and it feels even better than that to me!
",5
"Love the new predictive capabilities the most.
",5
"Unable to turn off predictive text
",1
"Much better than my galxcy 3 keyboard.This is a great app and works flawlessly.
",5
"Very good fixes most of my words tht I got wrong sometimes it does some crazy words the one thing I wish they did was have more themes
",4
"Trying to go back to the old keyboard or even trying other keyboards was just impossible after getting used to this.
",5
"It's amazing and I love it!
",5
"is the best. i do wish there was some kind of swyping input as well though.
",5
"Absolutely excellent text prediction and layout.
",5
"Not sure if user input forum will be as fast for responses as apps with less huge user base will see.
",5
"Best one I've tried.
",5
"Just wrote a review on the free version of this app.
",5
"Think it's a brilliant app can't fault it in any way, as soon as my free version expired I immediately upgraded.
",5
"This keyboard is the boss of all keyboards.
",5
"Just hope they continue to make it more battery efficient.
",5
"Amazing and I love it
",5
"After updating to Android 4.2, I had to download and install it again.
",5
"Fixes all my tying mistakes.
",5
"I tried a lot of keyboards including swype, slide it &  touch, swiftkey is easily the best.
",5
"Although I do like swype swiftkey is way more accurate and learns better.
",5
"Trust me when I say, I have had this application since it came out, and it gets better with every update if that is even possible!
",5
"Simply amazing!
",5
"Wish it had more themes due to the fact that it was paid for.
",5
"man kann das Gro閬眂hreiben nicht komplett abstellen.
",4
"In Chats etc. neige ich dazu alle W榘巘er klein zu schreiben.
",4
"Swiftkey korrigiert aber alle W榘巘er zwingend komplett inklusive Gro?Kleinschreibung.
",4
"I tried the trial version and i dont like using anyother keyboard nw. Frm now on its only goin to be swiftkey 3
",4
"This thing auto corrects like Jedi.
",5
"It's genuinely suppressing just how accurately its able to decipher my poorly executed key-mashing.
",5
"I've used many keyboards and this one is simply the best.
",5
"In fact, this is the first purchase I've made on Google Play.
",5
"The prediction is vastly better than anything I've used, and it only gets better.
",5
