text,rating,informative
"It was working great now it force closes every time I try to open it!!!!!
",1,1
"I look at a loading screen more than anything else.
",1,1
"The amount of likes somebody gets on a status update as I scroll down my news feed aren't up to date.
",1,1
"Slow, problems with slow laggy updates and failure to view photos,at times.
",1,1
"I can't post comments or photos And photos doesn't load.
",1,1
"Especially posting picture.
",1,1
"Constant crashing.
",1,1
"Network connection issues ....
",1,1
"Network Error?
",1,1
"slow but nice options :-):-):-):-):-)
",4,1
"The news feed shown is old...
",1,1
"cant even like an album from the news feed...
",1,1
"Facebook forces all the things you hate and disabled on the PC to reappear in this still-flaky app.
",3,1
"The most famous Facebook stupidity of non-editable posts becomes glaringly obvious when using a touch-screen.
",3,1
"Network errors, painfully slow loading on a 4G connection.
",1,1
"Also I can't delete unwanted comments off of my timeline like before.
",2,1
"Keeps crashing, ughhh come out with something that works for the love of God!
",1,1
"Hate how long it takes to load, and then get network errors when I am connected to my wifi...
",3,1
"Plus it's extremely slow to load new feeds.
",1,1
"And also relised there was a lot missing on the app like can't delete comments you make or other people make on your things and you can't edit comments etc.
",3,1
"Cant copy abd paste from posts.
",1,1
"Cant delete pists on my phone.
",1,1
"I can not post a status update or share anything!
",1,1
"And when will the black screen when viewing images be fixed?
",1,1
"The app is extremely slow.
",1,1
"New notifications are not updated immediately..
",1,1
"Uninstsllimg updates and rootuninstalling doubled battery life overnight.
",1,1
"For the DROID X Freezes and force closes all the time!
",1,1
"It starts to download then when it goes to actually install I get a message saying invalid package.
",3,1
"Slow, takes forever to load.
",3,1
"News feed is jacked up, won't stay current.
",1,1
"Using my cnm tablet, its terrible it always force closes as always laggy.
",1,1
"No longer receive pokes in notifications
",2,1
"Since last update I haven't been able to see any pictures unless I click on them or go to the browser and its slow.
",2,1
"This is bullshit, the homepage wont even load it just say connection error.
",1,1
"Unable to download it showing error no 497 any solution
",4,1
"Taken off another star as I can't change my cover photo anymore.
",2,1
"And when I ""like"" a status it doesn't save it.
",2,1
"Although my settings are set to new stories first, they are never in the correct time order until I go into settings and click on new stories first again
",3,1
"Overall, its a good app, but i have found that it keeps force closing, or just black screens ):
",3,1
"Noy working this app in my device, why?
",1,1
"Everything takes ages to update and recent stories list is all over the place.
",1,1
"Will Not load or allow me to do anything on it please fix
",2,1
"Takes forever to load the contents even with WiFi connection.
",1,1
"And the App can NOT be uninstalled nor stopped.
",1,1
"Please bring the little camera symbol back in the right bottom corner so I can update my timeline picture.
",2,1
"Can't even delete comments on it and you can't see my actions on my profile
",1,1
"It closes all the time  and will not load pictures.
",1,1
"dislike because of such a slow speed
",4,1
"Can't load anything on my phone.
",1,1
"It just keep on showing the network error sign
",1,1
"Slow loading.
",1,1
"I can't post status why?
",4,1
"Cant delete post.
",1,1
"Slow, force close, pictures don't load
",1,1
"It freezes and never loads.
",1,1
"The amount of times it just wont load, even on wifi...
",1,1
"Please sort facebook i have a Samsung cant do anything with the app sits buffering for hours loading nothing.
",1,1
"Such as error uploading pics or viewing photos
",1,1
"I used to check in often but with this latest release it's simply impossible.
",1,1
"I'm not having super lags like everyone else, but I'd appreciate a tablet ui for tablet users.
",4,1
"4. Shuts my phone down randomly.
",1,1
"And after about 2 minutes anytime I like something it unlikes it and restarts itself.
",1,1
"This Facebook app keeps Force closing for no reason it's Absolutely Appalling.
",1,1
"Slow as hell
",1,1
"Also, I love how it freezes up my phone all the time (sarcasm there, too).
",1,1
"Facebook is one of the most popular social networking sites but the app has always lagged way behind other apps.
",1,1
"Half the time the app doesn't load or it says no network coverage but coverage is fine.
",1,1
"I need to press the back button like 8 times to get out of a picture.
",1,1
"This update is good but speed not so good and can't change cover photo also not able to delete our own comments from any pic
",2,1
"GIVE US THE OPTION TO SAVE IMAGES THAT OTHER PAGES/PEOPLE SHARE!
",1,1
"Photos are not displaying correctly.
",1,1
"When I put on my preferences the I want the recent stories not the top stories it doessnt take it and it always take the top stories ugghh!
",1,1
"Glad I'm not the only one with the picture issue and the comments not deleting!!
",2,1
"When ever there's a picture I'm trying to see it never loads even on messenger please fix this problem
",1,1
"Cant upload pics %>_<%
",1,1
"Every few mins I get the force close crap !!!
",1,1
"But now my photos don't load, it doesn't update unless I do it and it freezes my phone..
",1,1
"Cant see photos in feed or messages, constant lag/not responding.
",2,1
"Seriously guys any way to make this file smaller takes up so much memory!!!!
",2,1
"How to change profile photo using this app?
",1,1
"Takes WAY too much internal memory.
",2,1
"I'm getting a network error every time i click post!
",1,1
"Its very time consuming with you just spent a few minutes typing and your comment or status disappeares!
",1,1
"App stops responding when I choose to upload pic on page!
",4,1
"Only giving one star because before the update I couldn't see comments on photos but now I can.
",1,1
"First things first this app deserves a four don't complain about it not loading picture on your news feed and if you have a problem get off your lazy a$s and do it on fuck1n computer your welcome
",4,1
"I used the app once and it used 15% of my battery for the day.
",1,1
"Horrible, you guys finally got it working then again you guys update it and it cant even load statuses nor pictures >:(
",1,1
"Dont work most of the time and very limited on what you can do..
",1,1
"Why is all of a sudden i can't change my cover photo and it keeps telling me no connection or it takes forever to load.
",1,1
"I cant play facebook connect games unless i m on 3/4G network.
",1,1
"now they took the ability to delete a comment away.
",1,1
"It freezes twice a day
",2,1
"Won't work or refresh at all after last update -
",1,1
"Can't see pictures, can't update profile, the original was much better.
",1,1
"Bring the Edit and Swipe to delete thing back......
",2,1
"Network error, loading speed got slow, some pictures dont show up and other bug issues...
",2,1
"Also says error when trying to comment or update status.
",1,1
"Seriously annoying with constant network errors and lengthy load times.
",2,1
"It won't even load!
",3,1
"Takes forever to load....
",1,1
"its a no no id u just wana check ya status n go..
",1,1
"Many lag on screen....
",1,1
"Buggy, won't load, especially since there really are not too many features.
",1,1
"it sustains so much memory very poor older ws more betr
",1,1
"Also, if I select a notification to view, said notification won't load. It just locks up in a waiting cycle.
",1,1
"Constantly force closes.
",1,1
"It wastes battery at night when charging and not even in use!
",1,1
"Constant ""network error"" messages when I have a great wifi connection.
",1,1
"Can't post comments or like anything...
",1,1
"Freezes my phone and doesn't allow me to change my cover
",1,1
"There is no option to change ur cover photo, photos don't show up in the newsfeed without clicking on them, and its really slow.
",2,1
"Also, seems to be building up way faster in MB and is killing my battery considerable if I don't clear the cache everyday.
",2,1
"Very slow & crashes.
",1,1
"When I enter a picture, it takes 5 or 6 goes of the back button to leave the picture.
",3,1
"Freezes constantly.
",1,1
"Love being able to keep in touch with friends and family, but could be much better if we could actually communicate without having an ""error"" screen pop up, not allowing you to leave comments or updates.
",3,1
"I cant upload my pictures or posts half the time..
",1,1
"and now the pix of mine and my friends won't even load...
",1,1
"I cant able to change a cover photo
",1,1
"I like this app but when I view pictures and once I go back the pic doesn't go away until I've hit the back button a few times...
",3,1
"To all the other reviewers, the app will only work right if you clear up some memory on your device!
",4,1
"I cant change my cover photo!!
",1,1
"It won't let you like, post, or message.
",1,1
"The update has resulted in me being unable to post status updates.
",1,1
"freezes everytime i open a pic .....
",3,1
"This is a good app but I needs the feature to be able to move to the SD card because my phone only has a limited amount of room and 20+ mb hurts please add the feature to move to SD card.
",3,1
"If I get a facebook notification and click it, facebook app opens and sits there on the load screen.
",1,1
"Freezes and doesn't refresh.
",1,1
"Photos don't load right.
",1,1
"I can only see few posts on my newsfeed then it won't load anymore.
",1,1
"Posts I remove or pictures I remove are still on my newsfeed are there permanently.
",1,1
"Still takes forever to load if at all.
",1,1
"Doesnt work for changing the cover photos....
",4,1
"There is no time line cover photo botton to change your cover -.-
",1,1
"no option for update cover photo
",4,1
"constantly stops and pauses.
",1,1
"The first attempt at uploading photos always freezes, and the only way to get rid of it from the drop down menu is to restart the phone
",3,1
"Then I get network errors every other day!
",2,1
"Cover photo cannot be changed.
",4,1
"IT FREEZES, it keeps trying to connect to the server.
",1,1
"Frustrating how it shows I'm in another city/town when I post not where I actually am.
",3,1
"It still doesn't sync high quality contact photos.
",4,1
"It shows persons name but not photo or profile picture.
",4,1
"I have a Samsung Infuse and this app is the only one that freezes up or crashes.
",2,1
"Takes up way too much of my phone storage!
",1,1
"And as I scroll down, it doesn't load more storys.
",1,1
"Please add ""copy"" and ""paste""
",4,1
"This app doesn't even install the update...
",1,1
"cant change my cover pic still need a way to share events and also a way to download pics the way u can on friendcaster would be nice
",4,1
"Massive app,  half time doesn't load properly even when on wifi.
",1,1
"Needs some serious liposuction!
",1,1
"Else, the reliability is spotty.
",3,1
"But since its updated I can't view any photos or see them in my news feed.
",2,1
"New update keeps force closing and i cant even get to the news feed it goes blue then black and bak to my home page fix this!
",2,1
"Please make option move to sd card ...
",1,1
"Im Continuesly pestered with requests to search my phone book for friends.
",1,1
"For the love of everything that's called technology, make your app smaller cause I can't afford 30Mb of my internal memory to be used by the app.
",1,1
"Slow loading everything.
",2,1
"Since da f last update is crashin, force closes, slow loading content!
",1,1
"Since the last update everytime i open a picture the application crashes!
",4,1
"Update before last my pics stopped showing in my news feed on my samsung galaxy !
",3,1
"Has been force closing a lot recently, not loading pictures or comments...
",2,1
"But haven't been able to upload photos for days.
",4,1
"Says remote computer is offline.
",4,1
"It freezes a lot it doesnt load it keeps on saying ""no internet connection "" and basicly sucks .
",1,1
"Pl ad the setting of changing languages.
",3,1
"Gud but after update it taking so much space
",4,1
"I hate that I have to relaunch the app because it crashes on me after those ten minutes..
",1,1
"Please optimize to reduce ram usage. May use up to 70mb.
",2,1
"Every time I open BookFace it takes forever then it crashes.
",1,1
"Super slow.
",1,1
"I updated today and fb no longer works!!
",2,1
"It keep blocking me to see old steam and post
",3,1
"getting tired of jumping thru hoops to get to fb.
",1,1
"Keeps saying network error or no connection.
",2,1
"But the screen seems to be a little jumpy.
",1,1
"It freezes my phone and it runs slow!
",1,1
"Can't see any pics, profile pics, wall posts pics, etc. Please fix!
",1,1
"When I'm commenting (right in the middle of me typing!) The screen scrolls to the top of the page. Everytime! and not just once, but several times in one comment.
",2,1
"apps keep showing network error.
",2,1
"Why I can't delete the comment? :|
",1,1
"Why doesn't this work plz fix i can't play game cause i can't connect to Facebook
",1,1
"If FB didn't need internet to work, it would be great but since it has to have internet the app is junk.
",1,1
"Now pictures won't load on my newsfeed and I continuously get ""network error"".
",1,1
"Pls fix the back button.
",1,1
"and then that network error thg jst kills me
",2,1
"Network errors on galaxy s3 with jelly bean.
",1,1
"We have to use pc or browser everytime to download photos of our dearones .
",4,1
"Even with wofi connevtikns, the app freezes and hangs alot when i click on pictures.
",1,1
"Comments don't show up.
",1,1
"Struggles to load everything & just endlessly spins, newsfeed, comments, who likes,etc. notifications on things I want to follow stop on their own & never let me know someone liked or commented.
",1,1
"i cant post anything for the pass couple of days. i reinstalled and still face the same problem
",2,1
"After New update, I can't seem to go back wherever I press back button after enlarging a photo. Have to press multiple time.
",4,1
"stays loading forever
",1,1
"Could ya tell me why my phone keep cut off when I be on Facebook
",1,1
"takes a lot to of time for pictures to come under and the sometimes freezes.
",2,1
"Mainly because the page doesn't load at all.
",1,1
"I can't even update my status.
",1,1
"Why have auto update!
",1,1
"Longer loading times but more advanced
",3,1
"Horrible update everything freezes not happy.
",1,1
"Very very slow to update.
",1,1
"My FB won't even load.
",1,1
"Everytime I log into FB all of my pictures and friends posts and faces are completely grey and won't load.
",1,1
"I can't post any comments or posts.
",1,1
"Works good on 3g or wifi but slows down very much on 2g.
",3,1
"Can not update status using this app.
",2,1
"Never wants to refresh, have to keep closing app and opening back up.
",2,1
"My daughter has a version that only takes a third if the memory but can't locate it in app store.
",1,1
"Only can find fb msgr but does not give news feed or profile access like hers does!
",1,1
"Long time no update,doesn't work or work very slow
",1,1
"Screen scrolls itself as new posts appear .
",2,1
"Whn it says u comment u go to look and make sure it posted and its not there!
",1,1
"Cant change my profile picture.
",1,1
"Now it is slow,reboots me for no reason,force closes all the time,&always saying network error.
",2,1
"Network error, photos won't upload, i can't delete comments, the news feed shows just what it wants, force close (it never happen' to me before with the other versions).
",1,1
"And when I leave comments and i press my thumbs at the any empty spaces, than the comments are completely gone!!
",1,1
"Issues viewing photos.
",2,1
"Random shutdown.
",2,1
"can't log in for two days idk whats the problem but it needs to be fixed asap for me to rate anything near 5 stars
",2,1
"Just noting my own wall.
",4,1
"Even the notifications don't update as often even thought it is set to 30min refreshing.
",2,1
"News feed wont load.
",1,1
"Cant update status.
",1,1
"Picture dont show up.
",1,1
"Add the ""near city, state"" to the status and make it where we can change the cover picture.
",1,1
"I can't delete comments with this f**king update.
",2,1
"The content I am getting is older than the content that displayed just a few hours ago.
",2,1
"It only shows notification from one or two people only.
",3,1
"It works OK but sometimes laags and hangs but OK its usable.
",4,1
"Does anyone know how i can get a better update of facebook for my android, this one is horrible,keep stopping !
",1,1
"Force close alot, Super slow, Can't change cover pics, Can't delete or edit comments, Doesn't give you the choice to view most resent (which is aggravating reading the same post from the day before) and for those of us who doesn't have a whole lot of memory left on our Phone being able to save onto our SD CARD would be greatly appreciated!
",1,1
"Now, I can't even log in with this sorry excuse for an app.
",1,1
"they use lot of phone memory for my mobile i.e 14mb
",4,1
"force closes like every 15 mins; ca t change the cover pic, cant delete comments, photo loading takes forever, timeline/wall & message updates are random.sometimes posting old first!
",2,1
"Will not log in forecloses every time!
",1,1
"Please make it available to be download it on SD card
",2,1
"Its amazing that after that many years,  photos on Facebook almost always hangs up on loading.
",1,1
"The update occupied to much space.
",1,1
"Doesn't let me change cover photo , & freezes .
",3,1
"Working slow HTC inspire 4g
",4,1
"It keeps telling me log in failed.
",3,1
"Cannot connect using wifi!!
",1,1
"I have to disconnect for facebook and reconnect for everything else!
",1,1
"The app takes ages to load else doesn't load at all.
",1,1
"Notifications for messages still pop up when turned off, it forgets the settings.
",1,1
"I can't see any pics on facebook since this last upgrade and its runs slow.
",1,1
"This is the worst update for Facebook for the samsung galaxy 2 phone nothing works it freezes up always says it has a network error I switch to the fastest Facebook app which actually works somewhat at least you can post a status  and look things up during very many setting options fix this app ASAP
",1,1
"Was tolerable on mobile phone but tablet UI sucks its as if they just stretched everything out.
",3,1
"Now pictures never upload and when i tried reinstalling the app the issue continued.
",1,1
"Since the upgrade it wont let me post comments or statuses.
",2,1
"newsfeed wong refresh!
",1,1
"I also won't get a notification about receiving a message until 20 minutes after the person has sent it.
",1,1
"Slow function.
",3,1
"1/18/13::Edit:: Photos aren't loading at all.
",4,1
"After downloading ""PACKET DATA UNAVAILABLE"" error is displayed.
",1,1
"I can't access any groups, il getting message notifications to find out that its not a message but comments.
",1,1
"I can post a status and the next time I go to post a status or a picture the old status shows up again.
",1,1
"Had new updates and got more problems keeps reloading loads slow.
",1,1
"Every since I updated to the new version I continuously get network errors or the page just won't load.
",2,1
"Its good but it takes to long to refresh and to download
",4,1
"Also, would be nice to have pictures load like they used to instead of very slowly or not at all.
",1,1
"I can't get on, it won't let me add pics, won't refresh for news feeds, tells me network error.
",1,1
"Too many crashing issue, everytime when i use it i have to tallrate the crash issue 5 to 6 times in 5 minutes
",1,1
"It freezes all the time and kicks me out all the time.
",1,1
"Very slow to update and I get the cannot retrieve notifications SSL handshake error
",3,1
"Comment glitch has been fixed,  but now photos and link thumbnails are not downloading in the Newsfeed view.
",3,1
"Doesn't receive message notifications and uses WAY too much RAM to say it's not even working.
",1,1
"Needs a lot of bug fixes although it freezes a lot on s3
",1,1
"I haven't been able to update my status for the last three updates.
",1,1
"Goes d same for notification.
",3,1
"And posts your status updates when it feels like it.
",1,1
"When I try to connect it shows processing all the times.
",1,1
"Im done reading tweets in twitter but facebook still loads the images.
",4,1
"It has no option to update my cover photo!
",3,1
"where is the change cover pic feature.
",1,1
"Cant change my cover pic.
",1,1
"I swear if i see network error or freakn FORCE CLOSE AGAIN IMA SCREAM!!!!
",1,1
"i canot post a new status righ now..wtf is this...
",1,1
"Can't view pictures on the timeline!
",2,1
"Won't Process my Likes.
",2,1
"I click Like and the page scrolls on it's own immediately after.
",2,1
"Takes forever to load.
",4,1
"Ever since i updated i cant see any pictures its making me mad hopefuly itll worj now reinstalling
",1,1
"I have to go on then quit then go back on and then my notifications show...
",1,1
"I try to view comments and statuses but a black bar pops up saying ""network error"".
",1,1
"'Network error' appears everytime since the update.
",1,1
"I click on Facebook and it just loads, and loads... and loads some more.
",1,1
"I also cant poke people.
",2,1
"Force closes, takes forever to load..
",1,1
"This app requires most of the energy from my battery on the nexus 4, sorry guys but it is not worth it -> uninstalled!
",1,1
"It'd be nice if I could actually update my status, check in some where, or like something and it actually do it!
",1,1
"Not good apps for android it is bring network error
",4,1
"Messages refuse to load.
",1,1
"The app says it can write to an SD card, but it doesn't. The way it is now, it is NOT worth the space.
",1,1
"I get network errors and I have to reload the program to correct.
",3,1
"Need back the old feature of deleting comments also can't seem to post status updates most times...
",2,1
"It will work for some and then either bring up a blank page or the picture is out of focus with a timer going as if its getting the data.
",3,1
"App will go for hour and not update.
",1,1
"Pictures don't upload
",2,1
"Force closes all the time...
",1,1
"I can't update my status anymore.
",1,1
"Many of my games can't progress until I connect to facebook really peeved off!!!!!!!
",1,1
"The new instant uploading features is my favorite new feature but it uploads everything.
",4,1
"Like that when you search for a new friend by name,  you can hit back and it takes you back to the previous list and doesn't make you start your search over.
",1,1
"I am starting having plm status twice all the times since last update.
",1,1
"Slowest yet, says network error often, regardless of connected or disconnected to Wi-Fi.
",1,1
"Takes up a lot more memory space than it should and most of the time, takes long to refresh the News Feed.
",3,1
"always force close!!!
",1,1
"hangs up with black screen, so slow..........
",1,1
"Most days pictures don't even load for me or just continues to load when I select anything and I'm sure it has nothing to do with my internet connection coz everything internet related still works!
",1,1
"After I post a status, I can't see it!
",1,1
"Takes hours to update my news feed.
",1,1
"I sometimes write a post and doesn't show on the news feed or my profile.
",1,1
"I don't know why I even waste my time with it anymore, it foreclose's and freezes my phone, I would say 90% of the time.
",1,1
"but tell me how to delete the comments...??
",4,1
"Way slow n irritating even n s2
",1,1
"Trying to update this app but it always shows an error 503.
",1,1
"My HTC HERO loads everything else super fast Facebook not so well
",1,1
"Notifications and messages that are sent to me are realy slow, it takes about 2-3 minutes befero they appear on my phone
",3,1
"Doesn't show updated notifications.
",1,1
"The app fails to log in and now I cannot use Facebook on my phone.
",1,1
"Everything i try to click on it tells me link expired or i don't have permission to view.
",1,1
"The app doesn't integrate well with messenger.
",2,1
"It's slow to load, and notifications don't work properly.
",2,1
"Can we speed the loading up please.
",3,1
"Sucks ttm, takes forever to load.
",1,1
"You caused me to lose 20% of my numbers because they don't sync right with low memory.
",1,1
"Bat it usually crashes without any reason and also starts to misbehave
",1,1
"I cant get the full site anymore and i cant delete posts or comments if i want to this is terrible ready to uninstall
",1,1
"Because everything I post, comments on statuses or pictures, it post my comment up to 30 times.
",2,1
"So slow to load anything with this app now, terrible!
",1,1
"Still won't let me log in
",1,1
"Can't remove friends from list and won't upload YouTube videos...
",2,1
"Don't like the position of the ""Likes/Comment"" area. In this update it is right above the ""Like"" button.
",2,1
"Have hit ""Like"" many times when I was just trying to see the likes or comments on a status. Need to move it to another area
",2,1
"Only downside is how long it takes to load a pic.
",4,1
"Its a great app love the updates it just it takes up all the space in my phone then my phone start acting up :(
",4,1
"Fails to load items properly!
",1,1
"Oh and, error 498.the past 3 days.
",4,1
"Almost every time I launch it, it freezes and I have to uninstall it and reinstall it.
",1,1
"When I close the app for a minute to check a text or do something else - Facebook seems to freeze and gives me a back screen upon returning.
",3,1
"All I can do to fix it is force close and reopen.
",3,1
"It doesn't even load Facebook anymore.
",1,1
"I would have given it 5 stars if all of the pictures would load when you clicked on them and not say ""cannot retrieve picture please try again later"".
",4,1
"Love the faster ability to view pics, but comments not loading & keeps saying network error or lost internet connection
",4,1
"how do you delete a comment now on a photo???
",3,1
"Most times I try to use it, it tells me it has no connection.
",1,1
"Often hangs and will have to forcr quit...
",3,1
"But the scrolling is too crappy,  please fix up.
",2,1
"1 thing that annoy me is the birthday event dont show the present day. So, it is hard for me to track ppl bd.
",4,1
"Photos will not load while on timeline
",3,1
"It is a better app,there us some problems  in it like here no opption to download pics uploaded by others
",4,1
"This new Update works great but for two thing you can't delete or edited comments
",4,1
"My newsfeed doesn't always refresh, and it keeps force closing!
",2,1
"It works ok if you can get It to reload after it says tap to retry.
",3,1
"The new version is muh better but when I like status', photos etc. The things are unliked when I go back onto Facebook
",4,1
"How can i remove comments???
",4,1
"Very slow and lots of glitching
",1,1
"But this app run so slowly even mw Andro has 1 Ghz.
",4,1
"slow as turtle
",1,1
"It is SO slow and annoying.
",3,1
"Can't comment, like, or click to see who liked something.
",2,1
"Improved alot from HTML5 days but still feels sluggish at times.
",3,1
"Share function doesn't work, and I get ""cannot find a secure connection"" error all the time on Wi-Fi, even though everything else works fine, including mobile web version.
",3,1
"Facebook keeps foreclosing alot!
",4,1
"Takes millions of minutes to overlook pictures and freezes alot.
",4,1
"It has also given me problems with sharing photos and commenting on other people's posts.
",1,1
"Everytime I post a new status, share a photo, or even post on a friends wall the post is not going through.
",3,1
"Cant login gived erroe......
",1,1
"Some time it hang the phone.
",2,1
"Always lost connection.
",1,1
"Messenger is just too slow...
",1,1
"Getting there but takes to long to load pics n load up profiles at times.
",3,1
"Seriously tired of seeing ""loading"" or ""can not find a secure connection""
",1,1
"Only prob is it's not showing the birthdays ""Today"".
",4,1
"Cannot upload images from my HTC inc s..
",1,1
"I can update shoes on fone but my fried can't see it.
",1,1
"I cant look at my notifications even when it says i have new ones.
",1,1
"The app is great just freezes in a while :/
",4,1
"U CANT EVEN UPDATE UR NEWS FEED!
",1,1
"Sometimes will freeze upon loading
",1,1
"Now since upgrades it won't open, when it will open it won't let me comment or share
",4,1
"I can't post on friends walls, can't like posts, photos, can't share!!!
",1,1
"Since recent update Facebook via this app is a hit or miss on being able to load the news feed yet alone updates on comments.
",2,1
"Why does my newsfeed not stay at most recent?
",3,1
"Ever since the last update I get network error problems can't load profiles ect..
",1,1
"Everytime I click on a picture it won't let me leave!!!!!!
",2,1
"As it stands it's crap,constant network errors,pages don't load,the list goes on.
",1,1
"Also pictures aren't loading!!!
",2,1
"still cannot add photos to albums of the groups on facebook, pls add this function
",2,1
"How i change my timeline photo???
",1,1
"Force closes ALOT still and I wish it would give me notifications when someone messages me.
",4,1
"Plagued with network errors and no ability to expand on viewed comments!!!
",1,1
"Has trouble updating profile since the last update on Galaxy S3
",3,1
"Cant even open the app
",1,1
"Won't load pictures or my news feed more than half of the time.
",1,1
"I can Like other people's posts, and comment on them, but can't do anything else unless I switch over to another device or go to my PC.
",1,1
"Just crap do not get any notification but slightly better than the last update.
",3,1
"Its force closing a lot of my apps and i cannot log out and it always freezes can you PLEASE fix it -_-
",3,1
"Takes so much internal memory and data usage too.
",1,1
"New pop up windows do not imptess me when you break the rest of the app to do it.
",1,1
"My only wish for this app is to one day (ASAP) have it so we can all move it to the SD card.
",1,1
"Takes far too much space on my phone.
",1,1
"And having an HTC desire phone its already got poor phone memory without having this bugging up my space.
",1,1
"Too slow to load, pics won't show, drops connection - unusable.
",1,1
"I am unable to update the profile picture directly...
",3,1
"The update on my phone will only let me on fb for a few minutes then  foreclose.
",2,1
"Its slow and hardly works
",2,1
"Now I get posts from Facebook recommending games.
",2,1
"App crashes every 5 minutes
",1,1
"New update now causes pictures to not load and sporadic newsfeed posts.
",1,1
"Can't change photos now after update...
",1,1
"There should be a share button by now.
",4,1
"hardly ever loads everything...
",1,1
"Network error and kicks me off
",1,1
"Can not check in or update status which is highly annoying!!!!!
",1,1
"I have been unable to update my status from my phone and unable to post on friends walls ever since the update!
",1,1
"It is app but  it work's slow sometime
",4,1
"But shows your messages and inboxes after like half hour of someone sending them you...Its so frustating have to click on them myself just to check...
",2,1
"And its slow in the news feed...
",2,1
"Sometimes i open my messages because it says i have one and its an all blank page.
",1,1
"but my memory keep increase when i online.
",4,1
"It will try to load but return with a network error.
",2,1
"What's a fuckin ""katana process"" that crashes facebook almost every hour now ?!!!
",3,1
"It sumtimes says error coonection it sucks
",1,1
"None of my pictures load and it just says network error all the time
",1,1
"I have to force close multiple times just to do simple things like read comments or load pictures.
",1,1
"doesn't load
",1,1
"Really is annoying, coz i cant post whats on my mind at the time!!
",2,1
"No network connection and error loading story is driving me nuts that I nearly killed ant with my head while banging my head on the table.
",1,1
"Can't quit facebook!
",4,1
"Why dose this app never tell me when someone messages me?
",1,1
"It doesnt connect sometimes and is slow fix it
",3,1
"The option to swipe and delete comments.
",2,1
"Back to freezing up, force close, error posting comments, numerous other problems.
",1,1
